cid,text,time,author,channel,votes,photo,heart,video_id
UgxEZosCVXrJZU6erad4AaABAg.8Gc10ihauvg8x_0M41mSzh,6 سنوات,قبل سنتين,مخاوي الذيب الحربي,UCtwF4oEthF24osCrjk6-KWQ,0,,False,270XNXK80nM
UgyXF3qHCGK2dV7T2ex4AaABAg,nyt on sexbätäng,قبل سنتين,täägi,UCM2LZA8dXwZ6jHlyUtcIWag,8,,False,a3AUqaO4GYA
UgyhF58cyApQumeF4Fp4AaABAg,they are my Jewish relative's because my mother's maiden name is Cohen 's and her 's grandma's maiden name is Kline's .,قبل 4 سنوات,Dale Hudson,UCXZnTOHWoR03IzgYKSnAywQ,4,,False,2IvBlVrdQy8
UgxvUJ3TOdGzU-82uup4AaABAg,We are Kurdish Love you Nasser Shama :),قبل 9 سنوات,Remko Guli,UCAHCKbe6swO60A-__WJupgg,0,,False,cXLXZBc45Cs
UgwoRwILobKfhMQNckl4AaABAg,Here i am watching this video 8 years after its made! I will be taking out my parents drop down ceiling just like this! Thanks for the video!!,قبل شهر واحد,RockinCars 410,UCSobU0h8Q4Yj70JBh1LTeuA,2,,False,2v88RPQPpY4
UgxQPeZUBn4m72K7cJt4AaABAg.8eFCiGF5g4W9Cmlz9KoEf8,Nunca tinha cantado no palco eu tava tremendo e a boca seca kkkk mas chego ao ouvidos de deus pois foi dedicado a ele,قبل سنة واحدة,Leonardo Vilas boas siqueira,UCJ6hggWESPspJOORAoifOsQ,0,,False,rY3fD5lsKjQ
UgjF40nSCMOPJngCoAEC,انما اشكوا بثي وحزني الى الله,قبل 5 سنوات,محمد العنزي,UC9nBxDDsTcHRbnhRWCbEf5Q,0,,False,yYOrpDr94yw
UgzfdSzlHSriSa_-o9J4AaABAg,"Glad to see Tim is on his meds, although he looks very skinny and his forehead has grown =(((",قبل 3 سنوات,o a o,UCgkdh8ohl4qXlnU2XpcvvqA,4,,False,-v32qr-amvc
UgyGl49cVIc9HrKhA-R4AaABAg.8hAr1B3KAyU8mU2UjoYXHe,not in New Zealand,قبل 3 سنوات,jadekayak01,UCxck3xYUA2SQ4OMlyj5msKQ,5,,False,6G4A0X0tIIM
Ugx_Mal5x4dRXXu7gmt4AaABAg,Tiba tiba muncul diberanda pada bulan Juli 2021 ada yang sama 😆,قبل 9 أشهر,Cahaya Amelia,UCn3tr1aX-ayV_bzohTJPvvw,333,,False,cSb5FQ71g2w
Ugx6FXHYyg_IC9EpEq94AaABAg.8bsUWf7FkgI95e50-m9sCY,Why 3?,قبل سنتين,Kim Marsh,UCC9y09PQzbHikN5SwZHxSNQ,0,,False,9xJQwmFCIRQ
